Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ribosomal protein S6E (S10) [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,150,150,100%,9e-44,59.23,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB04171.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""AGB04171.1"")"
30S ribosomal protein S6e [Methanopyrus kandleri],Methanopyrus kandleri,147,147,92%,1e-42,59.17,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011019814.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""WP_011019814.1"")"
TPA: 30S ribosomal protein S6e [Methanothermococcus okinawensis],Methanothermococcus okinawensis,140,140,93%,9e-40,59.02,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIQ32657.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""HIQ32657.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,137,137,86%,2e-38,58.93,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS7616456.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""MBS7616456.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,137,137,87%,1e-38,58.77,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCS7115717.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""MCS7115717.1"")"
TPA: 30S ribosomal protein S6e [Aciduliprofundum boonei],Aciduliprofundum boonei,150,150,96%,1e-43,58.73,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHE75755.1?report=genbank&log$=prottop&blast_rank=20&RID=0VF2G3E9016"",""HHE75755.1"")"
30S ribosomal protein S6e [Aciduliprofundum boonei],Aciduliprofundum boonei,150,150,100%,7e-44,58.46,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008082261.1?report=genbank&log$=prottop&blast_rank=21&RID=0VF2G3E9016"",""WP_008082261.1"")"
30S ribosomal protein S6e [Thermoprotei archaeon],Thermoprotei archaeon,136,136,86%,2e-38,58.41,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6095701.1?report=genbank&log$=prottop&blast_rank=22&RID=0VF2G3E9016"",""MCD6095701.1"")"
30S ribosomal protein S6e [Methanopyrus sp. SNP6],Methanopyrus sp. SNP6,146,146,92%,4e-42,58.33,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_148688124.1?report=genbank&log$=prottop&blast_rank=23&RID=0VF2G3E9016"",""WP_148688124.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,136,136,91%,2e-38,57.98,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6469634.1?report=genbank&log$=prottop&blast_rank=24&RID=0VF2G3E9016"",""MCD6469634.1"")"
30S ribosomal protein S6e [archaeon],archaeon,137,137,87%,2e-38,57.89,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MQY62351.1?report=genbank&log$=prottop&blast_rank=25&RID=0VF2G3E9016"",""MQY62351.1"")"
TPA: 30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,138,138,86%,1e-38,57.52,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDI06942.1?report=genbank&log$=prottop&blast_rank=26&RID=0VF2G3E9016"",""HDI06942.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,138,138,86%,2e-38,57.52,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLG91833.1?report=genbank&log$=prottop&blast_rank=27&RID=0VF2G3E9016"",""RLG91833.1"")"
30S ribosomal protein S6e [Methanopyrus sp. KOL6],Methanopyrus sp. KOL6,142,142,92%,8e-41,57.50,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_088336405.1?report=genbank&log$=prottop&blast_rank=28&RID=0VF2G3E9016"",""WP_088336405.1"")"
30S ribosomal protein S6e [Methanopyri archaeon],Methanopyri archaeon,142,142,92%,1e-40,57.50,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPB02712.1?report=genbank&log$=prottop&blast_rank=29&RID=0VF2G3E9016"",""NPB02712.1"")"
30S ribosomal protein S6e [Archaeoglobi archaeon],Archaeoglobi archaeon,138,138,92%,9e-39,57.50,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7115166.1?report=genbank&log$=prottop&blast_rank=30&RID=0VF2G3E9016"",""MBC7115166.1"")"
30S ribosomal protein S6e [Candidatus Aenigmarchaeota archaeon],Candidatus Aenigmarchaeota archaeon,143,143,93%,5e-41,57.38,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU5682373.1?report=genbank&log$=prottop&blast_rank=31&RID=0VF2G3E9016"",""MBU5682373.1"")"
30S ribosomal protein S6e [Methanofervidicoccus sp. A16],Methanofervidicoccus sp. A16,138,138,93%,4e-39,57.38,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_148120538.1?report=genbank&log$=prottop&blast_rank=32&RID=0VF2G3E9016"",""WP_148120538.1"")"
TPA: 30S ribosomal protein S6e [Methanothermococcus okinawensis],Methanothermococcus okinawensis,136,136,93%,2e-38,57.38,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIP84545.1?report=genbank&log$=prottop&blast_rank=33&RID=0VF2G3E9016"",""HIP84545.1"")"
30S ribosomal protein S6e [Thermoprotei archaeon],Thermoprotei archaeon,144,144,96%,3e-41,57.14,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF14042.1?report=genbank&log$=prottop&blast_rank=34&RID=0VF2G3E9016"",""RLF14042.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon A05DMB-3],Candidatus Bathyarchaeota archaeon A05DMB-3,137,137,87%,8e-39,57.02,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX5320672.1?report=genbank&log$=prottop&blast_rank=35&RID=0VF2G3E9016"",""MBX5320672.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,137,137,87%,9e-39,57.02,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS7647558.1?report=genbank&log$=prottop&blast_rank=36&RID=0VF2G3E9016"",""MBS7647558.1"")"
30S ribosomal protein S6e [Candidatus Aenigmarchaeota archaeon],Candidatus Aenigmarchaeota archaeon,140,140,100%,1e-39,56.92,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU5689324.1?report=genbank&log$=prottop&blast_rank=37&RID=0VF2G3E9016"",""MBU5689324.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,138,138,86%,6e-39,56.64,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLI46817.1?report=genbank&log$=prottop&blast_rank=38&RID=0VF2G3E9016"",""RLI46817.1"")"
30S ribosomal protein S6e [Methanothermococcus thermolithotrophicus],Methanothermococcus thermolithotrophicus,136,136,93%,2e-38,56.56,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018154488.1?report=genbank&log$=prottop&blast_rank=39&RID=0VF2G3E9016"",""WP_018154488.1"")"
TPA: 30S ribosomal protein S6e [Thermoplasmatales archaeon],Thermoplasmatales archaeon,145,145,100%,9e-42,56.30,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDO69515.1?report=genbank&log$=prottop&blast_rank=40&RID=0VF2G3E9016"",""HDO69515.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,138,138,87%,5e-39,56.14,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCS7124244.1?report=genbank&log$=prottop&blast_rank=41&RID=0VF2G3E9016"",""MCS7124244.1"")"
30S ribosomal protein S6e [Methanotorris formicicus],Methanotorris formicicus,140,140,92%,6e-40,55.83,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007043655.1?report=genbank&log$=prottop&blast_rank=42&RID=0VF2G3E9016"",""WP_007043655.1"")"
30S ribosomal protein S6e [Methanotorris igneus],Methanotorris igneus,139,139,92%,1e-39,55.83,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013799505.1?report=genbank&log$=prottop&blast_rank=43&RID=0VF2G3E9016"",""WP_013799505.1"")"
30S ribosomal protein S6e [Candidatus Aenigmarchaeota archaeon],Candidatus Aenigmarchaeota archaeon,147,147,93%,4e-41,55.74,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL7169441.1?report=genbank&log$=prottop&blast_rank=44&RID=0VF2G3E9016"",""MBL7169441.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,142,142,93%,2e-40,55.74,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF57401.1?report=genbank&log$=prottop&blast_rank=45&RID=0VF2G3E9016"",""RLF57401.1"")"
TPA: 30S ribosomal protein S6e [Thermoplasmatales archaeon],Thermoplasmatales archaeon,141,141,93%,3e-40,55.74,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDO19114.1?report=genbank&log$=prottop&blast_rank=46&RID=0VF2G3E9016"",""HDO19114.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,141,141,93%,4e-40,55.74,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6542852.1?report=genbank&log$=prottop&blast_rank=47&RID=0VF2G3E9016"",""MCD6542852.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,149,149,95%,3e-43,55.65,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6106188.1?report=genbank&log$=prottop&blast_rank=48&RID=0VF2G3E9016"",""MCD6106188.1"")"
TPA: 30S ribosomal protein S6e [Aciduliprofundum sp.],Aciduliprofundum sp.,148,148,95%,8e-43,55.65,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDJ27552.1?report=genbank&log$=prottop&blast_rank=49&RID=0VF2G3E9016"",""HDJ27552.1"")"
30S ribosomal protein S6e [Candidatus Aenigmarchaeota archaeon],Candidatus Aenigmarchaeota archaeon,138,138,90%,4e-38,55.56,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLJ08749.1?report=genbank&log$=prottop&blast_rank=50&RID=0VF2G3E9016"",""RLJ08749.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,136,136,87%,4e-38,55.26,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRO54030.1?report=genbank&log$=prottop&blast_rank=51&RID=0VF2G3E9016"",""TRO54030.1"")"
30S ribosomal protein S6e [Methanosarcina lacustris],Methanosarcina lacustris,140,140,92%,7e-40,55.00,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048124900.1?report=genbank&log$=prottop&blast_rank=52&RID=0VF2G3E9016"",""WP_048124900.1"")"
30S ribosomal protein S6e [Archaeoglobi archaeon],Archaeoglobi archaeon,136,136,92%,4e-38,55.00,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7109904.1?report=genbank&log$=prottop&blast_rank=53&RID=0VF2G3E9016"",""MBC7109904.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,136,136,97%,3e-38,54.96,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6411756.1?report=genbank&log$=prottop&blast_rank=54&RID=0VF2G3E9016"",""MCD6411756.1"")"
30S ribosomal protein S6e [Thermoprotei archaeon],Thermoprotei archaeon,137,137,90%,8e-39,54.70,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6510072.1?report=genbank&log$=prottop&blast_rank=55&RID=0VF2G3E9016"",""MCD6510072.1"")"
30S ribosomal protein S6e [Methanophagales archaeon],Methanophagales archaeon,141,141,91%,3e-40,54.62,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCR5851935.1?report=genbank&log$=prottop&blast_rank=56&RID=0VF2G3E9016"",""MCR5851935.1"")"
30S ribosomal protein S6e [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,136,136,92%,4e-38,54.17,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS3749820.1?report=genbank&log$=prottop&blast_rank=57&RID=0VF2G3E9016"",""MBS3749820.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,141,141,93%,5e-40,54.10,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU4221606.1?report=genbank&log$=prottop&blast_rank=58&RID=0VF2G3E9016"",""MBU4221606.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,141,141,93%,5e-40,54.10,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU4076287.1?report=genbank&log$=prottop&blast_rank=59&RID=0VF2G3E9016"",""MBU4076287.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,141,141,93%,5e-40,54.10,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU3967382.1?report=genbank&log$=prottop&blast_rank=60&RID=0VF2G3E9016"",""MBU3967382.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,137,137,93%,1e-38,54.10,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA0008271.1?report=genbank&log$=prottop&blast_rank=61&RID=0VF2G3E9016"",""KAA0008271.1"")"
30S ribosomal protein S6e [Candidatus Aenigmarchaeota archaeon],Candidatus Aenigmarchaeota archaeon,136,136,93%,4e-38,54.10,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI2547404.1?report=genbank&log$=prottop&blast_rank=62&RID=0VF2G3E9016"",""MBI2547404.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon BA1],Candidatus Bathyarchaeota archaeon BA1,140,140,100%,1e-39,53.85,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KPV64055.1?report=genbank&log$=prottop&blast_rank=63&RID=0VF2G3E9016"",""KPV64055.1"")"
30S ribosomal protein S6e [Candidatus Methanospirare jalkutatii],Candidatus Methanospirare jalkutatii,140,140,91%,6e-40,53.78,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UYZ39509.1?report=genbank&log$=prottop&blast_rank=64&RID=0VF2G3E9016"",""UYZ39509.1"")"
TPA: 30S ribosomal protein S6e [Archaeoglobus veneficus],Archaeoglobus veneficus,137,137,96%,1e-38,53.54,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDD36414.1?report=genbank&log$=prottop&blast_rank=65&RID=0VF2G3E9016"",""HDD36414.1"")"
30S ribosomal protein S6e [Archaeoglobus sp.],Archaeoglobus sp.,136,136,94%,3e-38,53.54,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBO8178895.1?report=genbank&log$=prottop&blast_rank=66&RID=0VF2G3E9016"",""MBO8178895.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,141,141,99%,3e-40,53.49,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4371113.1?report=genbank&log$=prottop&blast_rank=67&RID=0VF2G3E9016"",""MCI4371113.1"")"
30S ribosomal protein S6e [Candidatus Methanoperedens sp.],Candidatus Methanoperedens sp.,144,144,93%,3e-41,53.28,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCE8422727.1?report=genbank&log$=prottop&blast_rank=68&RID=0VF2G3E9016"",""MCE8422727.1"")"
30S ribosomal protein S6e [Candidatus Methanoperedenaceae archaeon GB37],Candidatus Methanoperedenaceae archaeon GB37,139,139,93%,3e-39,53.28,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD7768179.1?report=genbank&log$=prottop&blast_rank=69&RID=0VF2G3E9016"",""CAD7768179.1"")"
TPA: 30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,137,137,93%,1e-38,53.28,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIJ16528.1?report=genbank&log$=prottop&blast_rank=70&RID=0VF2G3E9016"",""HIJ16528.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,137,137,98%,3e-38,53.12,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4424086.1?report=genbank&log$=prottop&blast_rank=71&RID=0VF2G3E9016"",""MCK4424086.1"")"
TPA: 30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,139,139,97%,2e-39,53.08,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIH96057.1?report=genbank&log$=prottop&blast_rank=72&RID=0VF2G3E9016"",""HIH96057.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,137,137,99%,1e-38,53.03,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF46123.1?report=genbank&log$=prottop&blast_rank=73&RID=0VF2G3E9016"",""RLF46123.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,136,136,91%,3e-38,52.94,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI5000761.1?report=genbank&log$=prottop&blast_rank=74&RID=0VF2G3E9016"",""MBI5000761.1"")"
30S ribosomal protein S6e [Archaeoglobus fulgidus],Archaeoglobus fulgidus,136,136,94%,4e-38,52.76,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_010878018.1?report=genbank&log$=prottop&blast_rank=75&RID=0VF2G3E9016"",""WP_010878018.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon RBG_19FT_COMBO_69_17],Euryarchaeota archaeon RBG_19FT_COMBO_69_17,141,141,99%,3e-40,52.71,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGS61821.1?report=genbank&log$=prottop&blast_rank=76&RID=0VF2G3E9016"",""OGS61821.1"")"
30S ribosomal protein S6e [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,140,140,99%,6e-40,52.71,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU0623459.1?report=genbank&log$=prottop&blast_rank=77&RID=0VF2G3E9016"",""MBU0623459.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,139,139,99%,2e-39,52.71,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ7464293.1?report=genbank&log$=prottop&blast_rank=78&RID=0VF2G3E9016"",""MCJ7464293.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon 13_1_20CM_4_64_14],Euryarchaeota archaeon 13_1_20CM_4_64_14,137,137,99%,8e-39,52.71,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OLD89317.1?report=genbank&log$=prottop&blast_rank=79&RID=0VF2G3E9016"",""OLD89317.1"")"
30S ribosomal protein S6e [Methanosarcina sp. MTP4],Methanosarcina sp. MTP4,137,137,92%,2e-38,52.50,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048178147.1?report=genbank&log$=prottop&blast_rank=80&RID=0VF2G3E9016"",""WP_048178147.1"")"
TPA: 30S ribosomal protein S6e [Methanosarcinaceae archaeon],Methanosarcinaceae archaeon,137,137,92%,2e-38,52.50,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HII00403.1?report=genbank&log$=prottop&blast_rank=81&RID=0VF2G3E9016"",""HII00403.1"")"
30S ribosomal protein S6e [Candidatus Methanoperedens sp.],Candidatus Methanoperedens sp.,141,141,93%,5e-40,52.46,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TAN39652.1?report=genbank&log$=prottop&blast_rank=82&RID=0VF2G3E9016"",""TAN39652.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,136,136,99%,3e-38,52.27,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA0008515.1?report=genbank&log$=prottop&blast_rank=83&RID=0VF2G3E9016"",""KAA0008515.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon RBG_16_67_27],Euryarchaeota archaeon RBG_16_67_27,136,136,97%,2e-38,51.97,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGS47497.1?report=genbank&log$=prottop&blast_rank=84&RID=0VF2G3E9016"",""OGS47497.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,136,136,99%,3e-38,51.94,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TLZ83589.1?report=genbank&log$=prottop&blast_rank=85&RID=0VF2G3E9016"",""TLZ83589.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,135,135,99%,4e-38,51.94,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TLZ84894.1?report=genbank&log$=prottop&blast_rank=86&RID=0VF2G3E9016"",""TLZ84894.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon RBG_16_62_10],Euryarchaeota archaeon RBG_16_62_10,138,138,100%,5e-39,51.91,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGS41532.1?report=genbank&log$=prottop&blast_rank=87&RID=0VF2G3E9016"",""OGS41532.1"")"
30S ribosomal protein S6e [Methanosarcina flavescens],Methanosarcina flavescens,136,136,92%,3e-38,51.67,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLK31284.1?report=genbank&log$=prottop&blast_rank=88&RID=0VF2G3E9016"",""NLK31284.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,136,136,97%,2e-38,51.18,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCG68996.1?report=genbank&log$=prottop&blast_rank=89&RID=0VF2G3E9016"",""UCG68996.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,137,137,99%,1e-38,51.16,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TLZ74793.1?report=genbank&log$=prottop&blast_rank=90&RID=0VF2G3E9016"",""TLZ74793.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,136,136,99%,2e-38,51.16,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TLZ66611.1?report=genbank&log$=prottop&blast_rank=91&RID=0VF2G3E9016"",""TLZ66611.1"")"
