Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein DRN01_05190 [Thermoplasmata archaeon],Thermoplasmata archaeon,129,129,98%,7e-35,46.81,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF26229.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""RLF26229.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,128,128,98%,1e-34,46.81,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCG2826793.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""MCG2826793.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,125,125,97%,1e-33,46.76,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU4189625.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""MBU4189625.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,124,124,97%,2e-33,46.76,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU3902317.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""MBU3902317.1"")"
TPA: UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,127,127,98%,3e-34,46.10,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHH79459.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""HHH79459.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,126,126,98%,4e-34,46.10,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCF50158.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""UCF50158.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,126,126,98%,6e-34,46.10,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6468145.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""MCD6468145.1"")"
UPF0179 family protein [archaeon],archaeon,125,125,97%,2e-33,46.04,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBA3043891.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""MBA3043891.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,122,122,97%,3e-32,45.32,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4364657.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""MCK4364657.1"")"
UPF0179 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,128,128,98%,8e-35,44.68,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA74962.1?report=genbank&log$=prottop&blast_rank=20&RID=0VF2G3E9016"",""NPA74962.1"")"
TPA: UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,120,120,98%,1e-31,44.68,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEC81970.1?report=genbank&log$=prottop&blast_rank=21&RID=0VF2G3E9016"",""HEC81970.1"")"
TPA: UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,112,112,98%,1e-28,44.68,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHF55967.1?report=genbank&log$=prottop&blast_rank=22&RID=0VF2G3E9016"",""HHF55967.1"")"
hypothetical protein COS08_07085 [Euryarchaeota archaeon CG01_land_8_20_14_3_00_38_12],Euryarchaeota archaeon CG01_land_8_20_14_3_00_38_12,124,124,97%,2e-33,44.60,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIV68225.1?report=genbank&log$=prottop&blast_rank=23&RID=0VF2G3E9016"",""PIV68225.1"")"
TPA: UPF0179 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,122,122,97%,3e-32,44.60,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDP96442.1?report=genbank&log$=prottop&blast_rank=24&RID=0VF2G3E9016"",""HDP96442.1"")"
hypothetical protein A4E32_01087 [Methanomassiliicoccales archaeon PtaU1.Bin124],Methanomassiliicoccales archaeon PtaU1.Bin124,120,120,97%,2e-31,44.60,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OPY32505.1?report=genbank&log$=prottop&blast_rank=25&RID=0VF2G3E9016"",""OPY32505.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,121,121,97%,5e-32,43.88,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5635937.1?report=genbank&log$=prottop&blast_rank=26&RID=0VF2G3E9016"",""MCK5635937.1"")"
hypothetical protein AYK24_01120 [Thermoplasmatales archaeon SG8-52-4],Thermoplasmatales archaeon SG8-52-4,120,120,97%,1e-31,43.88,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYK23371.1?report=genbank&log$=prottop&blast_rank=27&RID=0VF2G3E9016"",""KYK23371.1"")"
hypothetical protein DRM98_00600 [Thermoplasmata archaeon],Thermoplasmata archaeon,119,119,99%,3e-31,43.66,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF34417.1?report=genbank&log$=prottop&blast_rank=28&RID=0VF2G3E9016"",""RLF34417.1"")"
hypothetical protein DRN20_00970 [Thermoplasmata archaeon],Thermoplasmata archaeon,114,114,91%,4e-29,43.51,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF49853.1?report=genbank&log$=prottop&blast_rank=29&RID=0VF2G3E9016"",""RLF49853.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,122,122,98%,2e-32,43.26,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2599586.1?report=genbank&log$=prottop&blast_rank=30&RID=0VF2G3E9016"",""MBN2599586.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,117,117,99%,3e-30,42.96,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA0006058.1?report=genbank&log$=prottop&blast_rank=31&RID=0VF2G3E9016"",""KAA0006058.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,120,120,95%,2e-31,42.65,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4457525.1?report=genbank&log$=prottop&blast_rank=32&RID=0VF2G3E9016"",""MCK4457525.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,120,120,95%,2e-31,42.65,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2556796.1?report=genbank&log$=prottop&blast_rank=33&RID=0VF2G3E9016"",""MCJ2556796.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,118,118,95%,7e-31,42.65,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4367704.1?report=genbank&log$=prottop&blast_rank=34&RID=0VF2G3E9016"",""MCK4367704.1"")"
hypothetical protein DRN12_01720 [Thermoplasmata archaeon],Thermoplasmata archaeon,131,131,98%,8e-36,42.55,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF41973.1?report=genbank&log$=prottop&blast_rank=35&RID=0VF2G3E9016"",""RLF41973.1"")"
hypothetical protein AYK20_03635 [Thermoplasmatales archaeon SG8-52-1],Thermoplasmatales archaeon SG8-52-1,115,115,98%,2e-29,42.55,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYK26505.1?report=genbank&log$=prottop&blast_rank=36&RID=0VF2G3E9016"",""KYK26505.1"")"
hypothetical protein A4E30_00828 [Methanomassiliicoccales archaeon PtaB.Bin215],Methanomassiliicoccales archaeon PtaB.Bin215,116,116,97%,4e-30,42.45,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OPX61842.1?report=genbank&log$=prottop&blast_rank=37&RID=0VF2G3E9016"",""OPX61842.1"")"
hypothetical protein DRM98_05385 [Thermoplasmata archaeon],Thermoplasmata archaeon,116,116,97%,5e-30,42.45,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF31570.1?report=genbank&log$=prottop&blast_rank=38&RID=0VF2G3E9016"",""RLF31570.1"")"
UPF0179 family protein [Candidatus Methanomassiliicoccus intestinalis],Candidatus Methanomassiliicoccus intestinalis,115,115,97%,2e-29,42.45,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020449346.1?report=genbank&log$=prottop&blast_rank=39&RID=0VF2G3E9016"",""WP_020449346.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,120,120,98%,2e-31,42.25,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4451840.1?report=genbank&log$=prottop&blast_rank=40&RID=0VF2G3E9016"",""MCL4451840.1"")"
hypothetical protein BV457_03345 [Thermoplasmata archaeon M9B1D],Thermoplasmata archaeon M9B1D,117,117,99%,3e-30,42.25,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PNX48594.1?report=genbank&log$=prottop&blast_rank=41&RID=0VF2G3E9016"",""PNX48594.1"")"
UPF0179 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,117,117,97%,3e-30,42.14,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLX47780.1?report=genbank&log$=prottop&blast_rank=42&RID=0VF2G3E9016"",""NLX47780.1"")"
TPA: hypothetical protein DSN98_00165 [Thermoplasmata archaeon],Thermoplasmata archaeon,120,120,98%,1e-31,41.84,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAC73336.1?report=genbank&log$=prottop&blast_rank=43&RID=0VF2G3E9016"",""DAC73336.1"")"
UPF0179 family protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,120,120,98%,2e-31,41.84,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7107202.1?report=genbank&log$=prottop&blast_rank=44&RID=0VF2G3E9016"",""MBC7107202.1"")"
hypothetical protein BV459_00475 [Thermoplasmata archaeon M11B2D],Thermoplasmata archaeon M11B2D,119,119,98%,2e-31,41.84,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PNX49237.1?report=genbank&log$=prottop&blast_rank=45&RID=0VF2G3E9016"",""PNX49237.1"")"
TPA: UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,115,115,98%,2e-29,41.84,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIH00291.1?report=genbank&log$=prottop&blast_rank=46&RID=0VF2G3E9016"",""HIH00291.1"")"
UPF0179 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,114,114,98%,2e-29,41.84,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCE5296608.1?report=genbank&log$=prottop&blast_rank=47&RID=0VF2G3E9016"",""MCE5296608.1"")"
hypothetical protein MBGDC06_00312 [Thermoplasmatales archaeon SCGC AB-539-C06],Thermoplasmatales archaeon SCGC AB-539-C06,119,119,97%,3e-31,41.73,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENO11778.1?report=genbank&log$=prottop&blast_rank=48&RID=0VF2G3E9016"",""ENO11778.1"")"
protein belonging to Uncharacterized protein family UPF0179 [uncultured organism],uncultured organism,119,119,97%,4e-31,41.73,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGF93036.1?report=genbank&log$=prottop&blast_rank=49&RID=0VF2G3E9016"",""AGF93036.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,117,117,97%,3e-30,41.73,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2512596.1?report=genbank&log$=prottop&blast_rank=50&RID=0VF2G3E9016"",""MCJ2512596.1"")"
UPF0179 family protein [Methanomassiliicoccus sp.],Methanomassiliicoccus sp.,115,115,97%,9e-30,41.73,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLT37208.1?report=genbank&log$=prottop&blast_rank=51&RID=0VF2G3E9016"",""NLT37208.1"")"
hypothetical protein A3207_03095 [Candidatus Methanomassiliicoccus intestinalis],Candidatus Methanomassiliicoccus intestinalis,113,113,97%,7e-29,41.73,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TQS82940.1?report=genbank&log$=prottop&blast_rank=52&RID=0VF2G3E9016"",""TQS82940.1"")"
UPF0179 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,115,115,95%,1e-29,41.61,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLU45643.1?report=genbank&log$=prottop&blast_rank=53&RID=0VF2G3E9016"",""NLU45643.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,110,110,88%,5e-28,41.27,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5030756.1?report=genbank&log$=prottop&blast_rank=54&RID=0VF2G3E9016"",""MCK5030756.1"")"
UPF0179 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,120,120,98%,8e-32,41.13,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI5000338.1?report=genbank&log$=prottop&blast_rank=55&RID=0VF2G3E9016"",""MBI5000338.1"")"
UPF0179 family protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,119,119,98%,3e-31,41.13,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCQ5375089.1?report=genbank&log$=prottop&blast_rank=56&RID=0VF2G3E9016"",""MCQ5375089.1"")"
hypothetical protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,114,114,98%,2e-29,41.13,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP1662760.1?report=genbank&log$=prottop&blast_rank=57&RID=0VF2G3E9016"",""MBP1662760.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,114,114,98%,2e-29,41.13,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCU0851048.1?report=genbank&log$=prottop&blast_rank=58&RID=0VF2G3E9016"",""MCU0851048.1"")"
hypothetical protein AYK22_08370 [Thermoplasmatales archaeon SG8-52-3],Thermoplasmatales archaeon SG8-52-3,113,113,98%,1e-28,41.13,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYK30989.1?report=genbank&log$=prottop&blast_rank=59&RID=0VF2G3E9016"",""KYK30989.1"")"
UPF0179 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,120,120,97%,2e-31,41.01,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBM4237428.1?report=genbank&log$=prottop&blast_rank=60&RID=0VF2G3E9016"",""MBM4237428.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,114,114,97%,3e-29,41.01,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2669480.1?report=genbank&log$=prottop&blast_rank=61&RID=0VF2G3E9016"",""MCJ2669480.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,119,119,98%,3e-31,40.85,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4445070.1?report=genbank&log$=prottop&blast_rank=62&RID=0VF2G3E9016"",""MCL4445070.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,113,113,96%,8e-29,40.58,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE38115.1?report=genbank&log$=prottop&blast_rank=63&RID=0VF2G3E9016"",""UCE38115.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,120,120,95%,1e-31,40.44,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU0623416.1?report=genbank&log$=prottop&blast_rank=64&RID=0VF2G3E9016"",""MBU0623416.1"")"
TPA: UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,115,115,95%,1e-29,40.44,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIH02206.1?report=genbank&log$=prottop&blast_rank=65&RID=0VF2G3E9016"",""HIH02206.1"")"
UPF0179 family protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,119,119,98%,3e-31,40.43,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCU0861574.1?report=genbank&log$=prottop&blast_rank=66&RID=0VF2G3E9016"",""MCU0861574.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,115,115,98%,8e-30,40.43,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1861192.1?report=genbank&log$=prottop&blast_rank=67&RID=0VF2G3E9016"",""MBN1861192.1"")"
hypothetical protein AYK21_01000 [Thermoplasmatales archaeon SG8-52-2],Thermoplasmatales archaeon SG8-52-2,115,115,98%,1e-29,40.43,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYK20954.1?report=genbank&log$=prottop&blast_rank=68&RID=0VF2G3E9016"",""KYK20954.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,113,113,98%,9e-29,40.43,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6236345.1?report=genbank&log$=prottop&blast_rank=69&RID=0VF2G3E9016"",""MCD6236345.1"")"
TPA: UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,112,112,98%,2e-28,40.43,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEB37441.1?report=genbank&log$=prottop&blast_rank=70&RID=0VF2G3E9016"",""HEB37441.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,126,126,97%,7e-34,40.29,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4332327.1?report=genbank&log$=prottop&blast_rank=71&RID=0VF2G3E9016"",""MCK4332327.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,119,119,97%,3e-31,40.29,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCD14724.1?report=genbank&log$=prottop&blast_rank=72&RID=0VF2G3E9016"",""UCD14724.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,117,117,97%,1e-30,40.29,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2065935.1?report=genbank&log$=prottop&blast_rank=73&RID=0VF2G3E9016"",""MBN2065935.1"")"
UPF0179 family protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,114,114,97%,4e-29,40.29,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NYT11894.1?report=genbank&log$=prottop&blast_rank=74&RID=0VF2G3E9016"",""NYT11894.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,112,112,97%,3e-28,40.29,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4948770.1?report=genbank&log$=prottop&blast_rank=75&RID=0VF2G3E9016"",""MCK4948770.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,117,117,99%,2e-30,40.14,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS3817307.1?report=genbank&log$=prottop&blast_rank=76&RID=0VF2G3E9016"",""MBS3817307.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,112,112,99%,3e-28,40.14,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA0005087.1?report=genbank&log$=prottop&blast_rank=77&RID=0VF2G3E9016"",""KAA0005087.1"")"
hypothetical protein DRN16_03805 [Thermoplasmata archaeon],Thermoplasmata archaeon,111,111,99%,5e-28,40.14,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF61331.1?report=genbank&log$=prottop&blast_rank=78&RID=0VF2G3E9016"",""RLF61331.1"")"
hypothetical protein AYK25_06825 [Thermoplasmatales archaeon SM1-50],Thermoplasmatales archaeon SM1-50,115,115,98%,7e-30,39.72,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYK23070.1?report=genbank&log$=prottop&blast_rank=79&RID=0VF2G3E9016"",""KYK23070.1"")"
TPA: UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,114,114,98%,5e-29,39.72,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEC86728.1?report=genbank&log$=prottop&blast_rank=80&RID=0VF2G3E9016"",""HEC86728.1"")"
TPA: UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,113,113,98%,6e-29,39.72,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDD57507.1?report=genbank&log$=prottop&blast_rank=81&RID=0VF2G3E9016"",""HDD57507.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,118,118,95%,1e-30,39.71,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ7463400.1?report=genbank&log$=prottop&blast_rank=82&RID=0VF2G3E9016"",""MCJ7463400.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,114,114,95%,3e-29,39.71,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCU0852693.1?report=genbank&log$=prottop&blast_rank=83&RID=0VF2G3E9016"",""MCU0852693.1"")"
UPF0179 family protein [Candidatus Methanomethylophilaceae archaeon],Candidatus Methanomethylophilaceae archaeon,113,113,91%,8e-29,39.69,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBQ7701266.1?report=genbank&log$=prottop&blast_rank=84&RID=0VF2G3E9016"",""MBQ7701266.1"")"
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,121,121,97%,5e-32,39.57,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCF13054.1?report=genbank&log$=prottop&blast_rank=85&RID=0VF2G3E9016"",""UCF13054.1"")"
UPF0179 family protein [Candidatus Methanomethylophilaceae archaeon],Candidatus Methanomethylophilaceae archaeon,119,119,97%,3e-31,39.57,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBO4356883.1?report=genbank&log$=prottop&blast_rank=86&RID=0VF2G3E9016"",""MBO4356883.1"")"
UPF0179 family protein [Candidatus Methanomethylophilaceae archaeon],Candidatus Methanomethylophilaceae archaeon,112,112,97%,2e-28,39.57,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBR6204390.1?report=genbank&log$=prottop&blast_rank=87&RID=0VF2G3E9016"",""MBR6204390.1"")"
hypothetical protein DRO11_10425 [Euryarchaeota archaeon],Euryarchaeota archaeon,111,111,99%,3e-28,39.44,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLG67183.1?report=genbank&log$=prottop&blast_rank=88&RID=0VF2G3E9016"",""RLG67183.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,111,111,96%,4e-28,39.13,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5407906.1?report=genbank&log$=prottop&blast_rank=89&RID=0VF2G3E9016"",""MCL5407906.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,112,112,98%,2e-28,39.01,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1280204.1?report=genbank&log$=prottop&blast_rank=90&RID=0VF2G3E9016"",""MBN1280204.1"")"
UPF0179 family protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,120,120,100%,1e-31,38.89,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4331464.1?report=genbank&log$=prottop&blast_rank=91&RID=0VF2G3E9016"",""MCL4331464.1"")"
