Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein B6U86_05650 [Candidatus Altiarchaeales archaeon ex4484_43],Candidatus Altiarchaeales archaeon ex4484_43,99.0,99.0,69%,2e-19,34.08,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT39118.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""OYT39118.1"")"
hypothetical protein DRO89_01395 [Candidatus Altiarchaeales archaeon],Candidatus Altiarchaeales archaeon,100,100,69%,4e-20,33.33,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLI92827.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""RLI92827.1"")"
TPA: inorganic phosphate transporter [Candidatus Altiarchaeales archaeon],Candidatus Altiarchaeales archaeon,97.8,97.8,69%,4e-19,33.33,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDH41526.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""HDH41526.1"")"
anion permease [Pseudomonadota bacterium],Pseudomonadota bacterium,95.5,95.5,58%,4e-19,32.24,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE9549555.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""MBE9549555.1"")"
inorganic phosphate transporter [Picrophilus oshimae],Picrophilus oshimae,93.6,93.6,94%,6e-18,31.94,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084272823.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""WP_084272823.1"")"
inorganic phosphate transporter [Picrophilus torridus],Picrophilus torridus,93.2,93.2,94%,1e-17,31.94,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011178128.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""WP_011178128.1"")"
anion permease [Sulfolobus sp.],Sulfolobus sp.,99.8,99.8,93%,3e-20,31.67,294,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP1357917.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""MBP1357917.1"")"
inorganic phosphate transporter [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,90.5,90.5,94%,8e-17,31.27,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5804092.1?report=genbank&log$=prottop&blast_rank=20&RID=0VF2G3E9016"",""MCL5804092.1"")"
anion permease [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,92.8,92.8,93%,1e-17,31.12,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4438500.1?report=genbank&log$=prottop&blast_rank=21&RID=0VF2G3E9016"",""MCL4438500.1"")"
inorganic phosphate transporter [Candidatus Marsarchaeota archaeon],Candidatus Marsarchaeota archaeon,96.3,96.3,88%,7e-19,31.02,307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5008271.1?report=genbank&log$=prottop&blast_rank=22&RID=0VF2G3E9016"",""MCL5008271.1"")"
inorganic phosphate transporter [Thermodesulfovibrio thiophilus],Thermodesulfovibrio thiophilus,89.0,89.0,91%,3e-16,30.98,313,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_273040448.1?report=genbank&log$=prottop&blast_rank=23&RID=0VF2G3E9016"",""WP_273040448.1"")"
inorganic phosphate transporter [Thermosipho],Thermosipho,97.1,97.1,95%,5e-19,30.87,307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075665821.1?report=genbank&log$=prottop&blast_rank=24&RID=0VF2G3E9016"",""WP_075665821.1"")"
inorganic phosphate transporter [Thermosipho sp. 1074],Thermosipho sp. 1074,99.0,99.0,95%,8e-20,30.20,307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077287386.1?report=genbank&log$=prottop&blast_rank=25&RID=0VF2G3E9016"",""WP_077287386.1"")"
inorganic phosphate transporter [unclassified Thermosipho (in: thermotogales)],unclassified Thermosipho (in: thermotogales),99.8,99.8,95%,4e-20,29.87,307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077289270.1?report=genbank&log$=prottop&blast_rank=26&RID=0VF2G3E9016"",""WP_077289270.1"")"
anion permease [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,96.7,96.7,92%,7e-19,29.73,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RJS88553.1?report=genbank&log$=prottop&blast_rank=27&RID=0VF2G3E9016"",""RJS88553.1"")"
inorganic phosphate transporter [Thermoplasma sp.],Thermoplasma sp.,94.0,94.0,92%,4e-18,29.69,297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA8922402.1?report=genbank&log$=prottop&blast_rank=28&RID=0VF2G3E9016"",""KAA8922402.1"")"
inorganic phosphate transporter [Candidatus Marsarchaeota archaeon],Candidatus Marsarchaeota archaeon,102,102,94%,4e-21,29.41,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5428111.1?report=genbank&log$=prottop&blast_rank=29&RID=0VF2G3E9016"",""MCL5428111.1"")"
TPA: inorganic phosphate transporter [Ferroplasma sp.],Ferroplasma sp.,87.0,87.0,89%,1e-15,29.35,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HII82041.1?report=genbank&log$=prottop&blast_rank=30&RID=0VF2G3E9016"",""HII82041.1"")"
inorganic phosphate transporter [Thermoplasma acidophilum],Thermoplasma acidophilum,101,101,92%,8e-21,29.33,297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_010900444.1?report=genbank&log$=prottop&blast_rank=31&RID=0VF2G3E9016"",""WP_010900444.1"")"
anion permease [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,97.8,97.8,91%,2e-19,29.33,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4328224.1?report=genbank&log$=prottop&blast_rank=32&RID=0VF2G3E9016"",""MCL4328224.1"")"
inorganic phosphate transporter [Candidatus Marsarchaeota archaeon],Candidatus Marsarchaeota archaeon,90.5,90.5,95%,1e-16,29.14,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4365207.1?report=genbank&log$=prottop&blast_rank=33&RID=0VF2G3E9016"",""MCL4365207.1"")"
anion permease [Euryarchaeota archaeon],Euryarchaeota archaeon,99.0,99.0,90%,1e-19,28.62,313,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCS4541487.1?report=genbank&log$=prottop&blast_rank=34&RID=0VF2G3E9016"",""MCS4541487.1"")"
inorganic phosphate transporter [Cuniculiplasma divulgatum],Cuniculiplasma divulgatum,88.2,88.2,94%,7e-16,28.62,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021789115.1?report=genbank&log$=prottop&blast_rank=35&RID=0VF2G3E9016"",""WP_021789115.1"")"
phosphate/sulfate permease [Candidatus Bathyarchaeota archaeon B26-2],Candidatus Bathyarchaeota archaeon B26-2,99.0,99.0,98%,9e-20,28.57,315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYH41523.1?report=genbank&log$=prottop&blast_rank=36&RID=0VF2G3E9016"",""KYH41523.1"")"
anion permease [Thermoplasmatales archaeon B_DKE],Thermoplasmatales archaeon B_DKE,92.0,92.0,93%,2e-17,28.57,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OWP57348.1?report=genbank&log$=prottop&blast_rank=37&RID=0VF2G3E9016"",""OWP57348.1"")"
Phosphate transporter family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,90.5,90.5,93%,1e-16,28.57,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRF75931.1?report=genbank&log$=prottop&blast_rank=38&RID=0VF2G3E9016"",""QRF75931.1"")"
anion permease [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,100,100,89%,1e-20,28.52,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW1976077.1?report=genbank&log$=prottop&blast_rank=39&RID=0VF2G3E9016"",""MBW1976077.1"")"
inorganic phosphate transporter [Petrotoga sp. 9PW.55.5.1],Petrotoga sp. 9PW.55.5.1,98.2,98.2,96%,1e-19,28.48,307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_113074677.1?report=genbank&log$=prottop&blast_rank=40&RID=0VF2G3E9016"",""WP_113074677.1"")"
anion permease [Candidatus Altiarchaeota archaeon],Candidatus Altiarchaeota archaeon,87.8,87.8,91%,1e-15,28.48,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2014290.1?report=genbank&log$=prottop&blast_rank=41&RID=0VF2G3E9016"",""MBN2014290.1"")"
TPA: inorganic phosphate transporter [Thermodesulforhabdus norvegica],Thermodesulforhabdus norvegica,100,100,89%,2e-20,28.37,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDL90667.1?report=genbank&log$=prottop&blast_rank=42&RID=0VF2G3E9016"",""HDL90667.1"")"
TPA: hypothetical protein [Thermoprotei archaeon],Thermoprotei archaeon,89.0,89.0,89%,3e-16,28.36,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIQ13512.1?report=genbank&log$=prottop&blast_rank=43&RID=0VF2G3E9016"",""HIQ13512.1"")"
anion permease [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,87.0,87.0,94%,2e-15,28.28,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4319993.1?report=genbank&log$=prottop&blast_rank=44&RID=0VF2G3E9016"",""MCL4319993.1"")"
anion permease [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,86.7,86.7,94%,2e-15,28.28,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL6014873.1?report=genbank&log$=prottop&blast_rank=45&RID=0VF2G3E9016"",""MCL6014873.1"")"
TPA: hypothetical protein [Thermoprotei archaeon],Thermoprotei archaeon,98.6,98.6,90%,1e-19,28.26,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEV51587.1?report=genbank&log$=prottop&blast_rank=46&RID=0VF2G3E9016"",""HEV51587.1"")"
anion permease [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,87.0,87.0,93%,1e-15,27.97,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4333516.1?report=genbank&log$=prottop&blast_rank=47&RID=0VF2G3E9016"",""MCL4333516.1"")"
inorganic phosphate transporter [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,96.7,96.7,90%,6e-19,27.86,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TMI39100.1?report=genbank&log$=prottop&blast_rank=48&RID=0VF2G3E9016"",""TMI39100.1"")"
anion permease [Desulfobacterales bacterium],Desulfobacterales bacterium,96.3,96.3,91%,9e-19,27.84,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5205000.1?report=genbank&log$=prottop&blast_rank=49&RID=0VF2G3E9016"",""MCK5205000.1"")"
inorganic phosphate transporter [Spirochaetota bacterium],Spirochaetota bacterium,98.2,98.2,92%,2e-19,27.74,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RKY00620.1?report=genbank&log$=prottop&blast_rank=50&RID=0VF2G3E9016"",""RKY00620.1"")"
inorganic phosphate transporter [Thermodesulforhabdus norvegica],Thermodesulforhabdus norvegica,111,111,91%,4e-24,27.72,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093392861.1?report=genbank&log$=prottop&blast_rank=51&RID=0VF2G3E9016"",""WP_093392861.1"")"
anion permease [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,93.6,93.6,95%,9e-18,27.57,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6089502.1?report=genbank&log$=prottop&blast_rank=52&RID=0VF2G3E9016"",""MCD6089502.1"")"
inorganic phosphate transporter [Kosmotoga sp.],Kosmotoga sp.,91.7,91.7,97%,4e-17,27.57,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBO8166305.1?report=genbank&log$=prottop&blast_rank=53&RID=0VF2G3E9016"",""MBO8166305.1"")"
inorganic phosphate transporter [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,92.8,92.8,94%,1e-17,27.46,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5668207.1?report=genbank&log$=prottop&blast_rank=54&RID=0VF2G3E9016"",""MCL5668207.1"")"
inorganic phosphate transporter [Thermosipho sp. (in: thermotogales)],Thermosipho sp. (in: thermotogales),100,100,91%,2e-20,27.30,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBO8139565.1?report=genbank&log$=prottop&blast_rank=55&RID=0VF2G3E9016"",""MBO8139565.1"")"
inorganic phosphate transporter [Kosmotoga pacifica],Kosmotoga pacifica,99.4,99.4,97%,6e-20,27.24,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_047753802.1?report=genbank&log$=prottop&blast_rank=56&RID=0VF2G3E9016"",""WP_047753802.1"")"
anion permease [Thermotogota bacterium],Thermotogota bacterium,92.0,92.0,90%,2e-17,27.24,296,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6462716.1?report=genbank&log$=prottop&blast_rank=57&RID=0VF2G3E9016"",""MCD6462716.1"")"
inorganic phosphate transporter [Thermosipho africanus],Thermosipho africanus,95.1,95.1,91%,2e-18,27.21,303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_249031077.1?report=genbank&log$=prottop&blast_rank=58&RID=0VF2G3E9016"",""WP_249031077.1"")"
anion permease [Thermotogaceae bacterium],Thermotogaceae bacterium,94.0,94.0,89%,5e-18,27.21,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6449151.1?report=genbank&log$=prottop&blast_rank=59&RID=0VF2G3E9016"",""MCD6449151.1"")"
inorganic phosphate transporter [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,91.7,91.7,94%,4e-17,27.12,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5441895.1?report=genbank&log$=prottop&blast_rank=60&RID=0VF2G3E9016"",""MCL5441895.1"")"
anion permease [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,90.9,90.9,96%,8e-17,27.06,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6592972.1?report=genbank&log$=prottop&blast_rank=61&RID=0VF2G3E9016"",""MCD6592972.1"")"
inorganic phosphate transporter [Thermosipho ferrireducens],Thermosipho ferrireducens,90.9,90.9,91%,9e-17,26.95,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_207566498.1?report=genbank&log$=prottop&blast_rank=62&RID=0VF2G3E9016"",""WP_207566498.1"")"
anion permease [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,89.4,89.4,93%,3e-16,26.94,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ7455531.1?report=genbank&log$=prottop&blast_rank=63&RID=0VF2G3E9016"",""MCJ7455531.1"")"
inorganic phosphate transporter [Kosmotoga arenicorallina],Kosmotoga arenicorallina,93.6,93.6,97%,9e-18,26.82,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068348461.1?report=genbank&log$=prottop&blast_rank=64&RID=0VF2G3E9016"",""WP_068348461.1"")"
sodium/phosphate symporter [Thermosipho africanus Ob7],Thermosipho africanus Ob7,95.1,95.1,97%,2e-18,26.67,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RDI90273.1?report=genbank&log$=prottop&blast_rank=65&RID=0VF2G3E9016"",""RDI90273.1"")"
inorganic phosphate transporter [Thermotogota bacterium],Thermotogota bacterium,87.0,87.0,93%,2e-15,26.53,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RKX35099.1?report=genbank&log$=prottop&blast_rank=66&RID=0VF2G3E9016"",""RKX35099.1"")"
inorganic phosphate transporter [Marinitoga sp. 1197],Marinitoga sp. 1197,91.7,91.7,91%,4e-17,26.50,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_047267770.1?report=genbank&log$=prottop&blast_rank=67&RID=0VF2G3E9016"",""WP_047267770.1"")"
inorganic phosphate transporter [Marinitoga sp. 1155],Marinitoga sp. 1155,91.7,91.7,91%,4e-17,26.50,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_047265580.1?report=genbank&log$=prottop&blast_rank=68&RID=0VF2G3E9016"",""WP_047265580.1"")"
inorganic phosphate transporter [Marinitoga sp. 1154],Marinitoga sp. 1154,91.7,91.7,91%,5e-17,26.50,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_175419753.1?report=genbank&log$=prottop&blast_rank=69&RID=0VF2G3E9016"",""WP_175419753.1"")"
inorganic phosphate transporter [Methanotorris formicicus],Methanotorris formicicus,93.2,93.2,93%,8e-18,26.43,294,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007044675.1?report=genbank&log$=prottop&blast_rank=70&RID=0VF2G3E9016"",""WP_007044675.1"")"
hypothetical protein DRO69_07120 [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,86.7,86.7,95%,3e-15,26.40,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLI44564.1?report=genbank&log$=prottop&blast_rank=71&RID=0VF2G3E9016"",""RLI44564.1"")"
TPA: inorganic phosphate transporter [Mesotoga infera],Mesotoga infera,86.7,86.7,91%,3e-15,26.39,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDP79076.1?report=genbank&log$=prottop&blast_rank=72&RID=0VF2G3E9016"",""HDP79076.1"")"
inorganic phosphate transporter [Thermosipho japonicus],Thermosipho japonicus,89.4,89.4,91%,2e-16,26.32,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_184619517.1?report=genbank&log$=prottop&blast_rank=73&RID=0VF2G3E9016"",""WP_184619517.1"")"
anion permease [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,102,102,91%,7e-21,26.28,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW1810339.1?report=genbank&log$=prottop&blast_rank=74&RID=0VF2G3E9016"",""MBW1810339.1"")"
inorganic phosphate transporter [Thermosipho globiformans],Thermosipho globiformans,92.0,92.0,91%,3e-17,26.21,303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_241229986.1?report=genbank&log$=prottop&blast_rank=75&RID=0VF2G3E9016"",""WP_241229986.1"")"
inorganic phosphate transporter [Thermosipho africanus],Thermosipho africanus,91.7,91.7,91%,3e-17,26.21,303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_237697499.1?report=genbank&log$=prottop&blast_rank=76&RID=0VF2G3E9016"",""WP_237697499.1"")"
inorganic phosphate transporter [Mesotoga sp. HF07.pep.5.2.highcov],Mesotoga sp. HF07.pep.5.2.highcov,99.8,99.8,90%,5e-20,26.16,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220660330.1?report=genbank&log$=prottop&blast_rank=77&RID=0VF2G3E9016"",""WP_220660330.1"")"
inorganic phosphate transporter [Mesotoga sp. H07pep.5.4],Mesotoga sp. H07pep.5.4,99.8,99.8,90%,5e-20,26.16,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006487351.1?report=genbank&log$=prottop&blast_rank=78&RID=0VF2G3E9016"",""WP_006487351.1"")"
anion permease [Kosmotogaceae bacterium],Kosmotogaceae bacterium,92.0,92.0,91%,3e-17,26.13,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2219979.1?report=genbank&log$=prottop&blast_rank=79&RID=0VF2G3E9016"",""MBN2219979.1"")"
inorganic phosphate transporter [Mesotoga sp. H07.pep.5.3],Mesotoga sp. H07.pep.5.3,97.8,97.8,91%,2e-19,26.06,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099772943.1?report=genbank&log$=prottop&blast_rank=80&RID=0VF2G3E9016"",""WP_099772943.1"")"
TPA: inorganic phosphate transporter [Mesotoga infera],Mesotoga infera,89.0,89.0,91%,4e-16,25.95,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCO69437.1?report=genbank&log$=prottop&blast_rank=81&RID=0VF2G3E9016"",""HCO69437.1"")"
anion permease [Thermodesulfobacteriaceae bacterium],Thermodesulfobacteriaceae bacterium,88.6,88.6,95%,6e-16,25.91,315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCS7279106.1?report=genbank&log$=prottop&blast_rank=82&RID=0VF2G3E9016"",""MCS7279106.1"")"
TPA: inorganic phosphate transporter [Thermosipho africanus],Thermosipho africanus,91.3,91.3,91%,5e-17,25.86,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCF37582.1?report=genbank&log$=prottop&blast_rank=83&RID=0VF2G3E9016"",""HCF37582.1"")"
inorganic phosphate transporter [Thermosipho africanus],Thermosipho africanus,89.7,89.7,91%,2e-16,25.86,303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232617865.1?report=genbank&log$=prottop&blast_rank=84&RID=0VF2G3E9016"",""WP_232617865.1"")"
anion permease [Kosmotogaceae bacterium],Kosmotogaceae bacterium,88.2,88.2,91%,8e-16,25.78,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2252888.1?report=genbank&log$=prottop&blast_rank=85&RID=0VF2G3E9016"",""MBN2252888.1"")"
sodium/phosphate symporter [Thermosipho africanus TCF52B],Thermosipho africanus TCF52B,92.0,92.0,97%,3e-17,25.73,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ75410.1?report=genbank&log$=prottop&blast_rank=86&RID=0VF2G3E9016"",""ACJ75410.1"")"
sodium/phosphate symporter [Thermosipho sp. (in: thermotogales)],Thermosipho sp. (in: thermotogales),91.3,91.3,97%,6e-17,25.73,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ4650573.1?report=genbank&log$=prottop&blast_rank=87&RID=0VF2G3E9016"",""MBZ4650573.1"")"
inorganic phosphate transporter [Methanotorris igneus],Methanotorris igneus,93.2,93.2,93%,1e-17,25.71,295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_172632634.1?report=genbank&log$=prottop&blast_rank=88&RID=0VF2G3E9016"",""WP_172632634.1"")"
phosphate transporter [Methanotorris igneus Kol 5],Methanotorris igneus Kol 5,92.8,92.8,93%,2e-17,25.71,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEF96719.1?report=genbank&log$=prottop&blast_rank=89&RID=0VF2G3E9016"",""AEF96719.1"")"
inorganic phosphate transporter [Mesotoga prima],Mesotoga prima,95.5,95.5,91%,1e-18,25.70,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014732003.1?report=genbank&log$=prottop&blast_rank=90&RID=0VF2G3E9016"",""WP_014732003.1"")"
inorganic phosphate transporter [Mesotoga sp. Brook.08.105.5.1],Mesotoga sp. Brook.08.105.5.1,87.8,87.8,91%,1e-15,25.69,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099828721.1?report=genbank&log$=prottop&blast_rank=91&RID=0VF2G3E9016"",""WP_099828721.1"")"
sodium/phosphate symporter [Thermosipho africanus H17ap60334],Thermosipho africanus H17ap60334,89.7,89.7,97%,2e-16,25.41,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKF50113.1?report=genbank&log$=prottop&blast_rank=92&RID=0VF2G3E9016"",""EKF50113.1"")"
