Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
radical SAM protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,233,233,99%,5e-74,55.77,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7080991.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""MBC7080991.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,246,246,98%,2e-79,55.61,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ7607208.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""MCJ7607208.1"")"
radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,249,249,99%,1e-80,55.56,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QLH75447.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""QLH75447.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,263,263,100%,4e-86,55.50,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5873972.1?report=genbank&log$=prottop&blast_rank=20&RID=0VF2G3E9016"",""MCL5873972.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,256,256,100%,4e-83,55.50,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE35969.1?report=genbank&log$=prottop&blast_rank=21&RID=0VF2G3E9016"",""UCE35969.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,254,254,100%,1e-82,55.50,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCF08444.1?report=genbank&log$=prottop&blast_rank=22&RID=0VF2G3E9016"",""UCF08444.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,223,223,100%,6e-70,55.50,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCG70814.1?report=genbank&log$=prottop&blast_rank=23&RID=0VF2G3E9016"",""UCG70814.1"")"
TPA: radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,247,247,98%,1e-79,55.12,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIJ16263.1?report=genbank&log$=prottop&blast_rank=24&RID=0VF2G3E9016"",""HIJ16263.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,234,234,98%,1e-74,55.12,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE45450.1?report=genbank&log$=prottop&blast_rank=25&RID=0VF2G3E9016"",""UCE45450.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,250,250,99%,7e-81,55.07,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4757182.1?report=genbank&log$=prottop&blast_rank=26&RID=0VF2G3E9016"",""MCK4757182.1"")"
hypothetical protein AMDU3_IPLC00004G0393 [Thermoplasmatales archaeon I-plasma],Thermoplasmatales archaeon I-plasma,254,254,100%,1e-82,55.02,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EQB64815.1?report=genbank&log$=prottop&blast_rank=27&RID=0VF2G3E9016"",""EQB64815.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,251,251,100%,3e-81,55.02,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5547745.1?report=genbank&log$=prottop&blast_rank=28&RID=0VF2G3E9016"",""MCK5547745.1"")"
radical SAM protein [Candidatus Aenigmarchaeota archaeon],Candidatus Aenigmarchaeota archaeon,249,249,100%,1e-80,55.02,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5023933.1?report=genbank&log$=prottop&blast_rank=29&RID=0VF2G3E9016"",""MCK5023933.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,246,246,98%,4e-79,54.63,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU0684633.1?report=genbank&log$=prottop&blast_rank=30&RID=0VF2G3E9016"",""MBU0684633.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,253,253,100%,3e-82,54.55,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4412322.1?report=genbank&log$=prottop&blast_rank=31&RID=0VF2G3E9016"",""MCL4412322.1"")"
radical SAM protein [Methanomassiliicoccus luminyensis],Methanomassiliicoccus luminyensis,246,246,100%,3e-79,54.55,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019177311.1?report=genbank&log$=prottop&blast_rank=32&RID=0VF2G3E9016"",""WP_019177311.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,247,247,99%,1e-79,54.33,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI5000694.1?report=genbank&log$=prottop&blast_rank=33&RID=0VF2G3E9016"",""MBI5000694.1"")"
radical SAM protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,229,229,99%,1e-72,54.33,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7129069.1?report=genbank&log$=prottop&blast_rank=34&RID=0VF2G3E9016"",""MBC7129069.1"")"
radical SAM protein [Candidatus Methanomethylophilus sp. 1R26],Candidatus Methanomethylophilus sp. 1R26,223,223,98%,4e-70,54.33,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_235585033.1?report=genbank&log$=prottop&blast_rank=35&RID=0VF2G3E9016"",""WP_235585033.1"")"
radical SAM protein [Candidatus Methanomethylophilus sp. 1R26],Candidatus Methanomethylophilus sp. 1R26,227,227,100%,1e-71,54.25,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KUE73216.1?report=genbank&log$=prottop&blast_rank=36&RID=0VF2G3E9016"",""KUE73216.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,244,244,98%,1e-78,54.15,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE0518516.1?report=genbank&log$=prottop&blast_rank=37&RID=0VF2G3E9016"",""MBE0518516.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,243,243,98%,4e-78,54.15,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1677775.1?report=genbank&log$=prottop&blast_rank=38&RID=0VF2G3E9016"",""MBN1677775.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,239,239,98%,2e-76,54.15,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE80819.1?report=genbank&log$=prottop&blast_rank=39&RID=0VF2G3E9016"",""UCE80819.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,234,234,98%,1e-74,54.15,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ7490145.1?report=genbank&log$=prottop&blast_rank=40&RID=0VF2G3E9016"",""MCJ7490145.1"")"
radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,251,251,100%,3e-81,54.07,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCU0861723.1?report=genbank&log$=prottop&blast_rank=41&RID=0VF2G3E9016"",""MCU0861723.1"")"
radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,246,246,100%,3e-79,54.07,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE73855.1?report=genbank&log$=prottop&blast_rank=42&RID=0VF2G3E9016"",""UCE73855.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,240,240,100%,8e-77,54.07,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5292113.1?report=genbank&log$=prottop&blast_rank=43&RID=0VF2G3E9016"",""MCK5292113.1"")"
TPA: radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,228,228,100%,4e-72,54.07,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIH76496.1?report=genbank&log$=prottop&blast_rank=44&RID=0VF2G3E9016"",""HIH76496.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,241,241,99%,2e-77,53.85,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5038566.1?report=genbank&log$=prottop&blast_rank=45&RID=0VF2G3E9016"",""MCK5038566.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,238,238,99%,3e-76,53.85,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5024572.1?report=genbank&log$=prottop&blast_rank=46&RID=0VF2G3E9016"",""MCK5024572.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,238,238,98%,3e-76,53.66,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ7463476.1?report=genbank&log$=prottop&blast_rank=47&RID=0VF2G3E9016"",""MCJ7463476.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,242,242,100%,9e-78,53.33,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBM4237032.1?report=genbank&log$=prottop&blast_rank=48&RID=0VF2G3E9016"",""MBM4237032.1"")"
7-carboxy-7-deazaguanine synthase QueE [Euryarchaeota archaeon RBG_19FT_COMBO_56_21],Euryarchaeota archaeon RBG_19FT_COMBO_56_21,237,237,98%,1e-75,53.17,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGS56937.1?report=genbank&log$=prottop&blast_rank=49&RID=0VF2G3E9016"",""OGS56937.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,233,233,98%,3e-74,53.17,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE92217.1?report=genbank&log$=prottop&blast_rank=50&RID=0VF2G3E9016"",""UCE92217.1"")"
TPA: radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,226,226,98%,2e-71,53.17,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIH02209.1?report=genbank&log$=prottop&blast_rank=51&RID=0VF2G3E9016"",""HIH02209.1"")"
radical SAM protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,231,231,100%,2e-73,53.11,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCF11883.1?report=genbank&log$=prottop&blast_rank=52&RID=0VF2G3E9016"",""UCF11883.1"")"
7-carboxy-7-deazaguanine synthase QueE [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,231,231,99%,3e-73,53.08,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5253946.1?report=genbank&log$=prottop&blast_rank=53&RID=0VF2G3E9016"",""MCL5253946.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,239,239,99%,2e-76,52.88,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBA3046226.1?report=genbank&log$=prottop&blast_rank=54&RID=0VF2G3E9016"",""MBA3046226.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,239,239,98%,1e-76,52.68,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU1159007.1?report=genbank&log$=prottop&blast_rank=55&RID=0VF2G3E9016"",""MBU1159007.1"")"
7-carboxy-7-deazaguanine synthase QueE [Euryarchaeota archaeon RBG_13_57_23],Euryarchaeota archaeon RBG_13_57_23,235,235,98%,6e-75,52.68,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGS44429.1?report=genbank&log$=prottop&blast_rank=56&RID=0VF2G3E9016"",""OGS44429.1"")"
radical SAM protein [Methanomassiliicoccus sp.],Methanomassiliicoccus sp.,242,242,100%,1e-77,52.63,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI0583950.1?report=genbank&log$=prottop&blast_rank=57&RID=0VF2G3E9016"",""MBI0583950.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,235,235,100%,8e-75,52.63,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4266342.1?report=genbank&log$=prottop&blast_rank=58&RID=0VF2G3E9016"",""MCK4266342.1"")"
radical SAM protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,232,232,100%,9e-74,52.63,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4332089.1?report=genbank&log$=prottop&blast_rank=59&RID=0VF2G3E9016"",""MCK4332089.1"")"
7-carboxy-7-deazaguanine synthase QueE [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,231,231,100%,4e-73,52.63,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4347515.1?report=genbank&log$=prottop&blast_rank=60&RID=0VF2G3E9016"",""MCL4347515.1"")"
radical SAM protein [Methanomassiliicoccus sp.],Methanomassiliicoccus sp.,230,230,100%,7e-73,52.63,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLT38462.1?report=genbank&log$=prottop&blast_rank=61&RID=0VF2G3E9016"",""NLT38462.1"")"
"ATP binding cassette transporter, ExsD protein related protein [Thermoplasmatales archaeon E-plasma]",Thermoplasmatales archaeon E-plasma,227,227,100%,9e-72,52.63,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EQB67396.1?report=genbank&log$=prottop&blast_rank=62&RID=0VF2G3E9016"",""EQB67396.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,230,230,99%,5e-73,52.40,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5309913.1?report=genbank&log$=prottop&blast_rank=63&RID=0VF2G3E9016"",""MCK5309913.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,226,226,99%,2e-71,52.31,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5559692.1?report=genbank&log$=prottop&blast_rank=64&RID=0VF2G3E9016"",""MCK5559692.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,238,238,98%,4e-76,52.20,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCU0860056.1?report=genbank&log$=prottop&blast_rank=65&RID=0VF2G3E9016"",""MCU0860056.1"")"
7-carboxy-7-deazaguanine synthase QueE [Euryarchaeota archaeon RBG_13_61_15],Euryarchaeota archaeon RBG_13_61_15,227,227,98%,1e-71,52.20,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGS52419.1?report=genbank&log$=prottop&blast_rank=66&RID=0VF2G3E9016"",""OGS52419.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,226,226,98%,2e-71,52.20,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2533567.1?report=genbank&log$=prottop&blast_rank=67&RID=0VF2G3E9016"",""MCJ2533567.1"")"
molybdenum cofactor biosynthesis protein A [Methanomassiliicoccales archaeon PtaU1.Bin124],Methanomassiliicoccales archaeon PtaU1.Bin124,232,232,99%,1e-73,52.17,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OPY31020.1?report=genbank&log$=prottop&blast_rank=68&RID=0VF2G3E9016"",""OPY31020.1"")"
7-carboxy-7-deazaguanine synthase QueE [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,228,228,100%,4e-72,52.15,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4335937.1?report=genbank&log$=prottop&blast_rank=69&RID=0VF2G3E9016"",""MCL4335937.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,230,230,98%,5e-73,51.71,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU0623936.1?report=genbank&log$=prottop&blast_rank=70&RID=0VF2G3E9016"",""MBU0623936.1"")"
radical SAM protein [Methanomassiliicoccales archaeon RumEn M1],Methanomassiliicoccales archaeon RumEn M1,229,229,100%,2e-72,51.67,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KQM12208.1?report=genbank&log$=prottop&blast_rank=71&RID=0VF2G3E9016"",""KQM12208.1"")"
radical SAM protein [Candidatus Methanomethylophilaceae archaeon],Candidatus Methanomethylophilaceae archaeon,229,229,100%,1e-72,51.43,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBQ3686121.1?report=genbank&log$=prottop&blast_rank=72&RID=0VF2G3E9016"",""MBQ3686121.1"")"
radical SAM protein [Candidatus Methanomethylophilaceae archaeon],Candidatus Methanomethylophilaceae archaeon,222,222,100%,1e-69,51.43,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBR4203663.1?report=genbank&log$=prottop&blast_rank=73&RID=0VF2G3E9016"",""MBR4203663.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,244,244,100%,2e-78,51.20,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2669047.1?report=genbank&log$=prottop&blast_rank=74&RID=0VF2G3E9016"",""MCJ2669047.1"")"
radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,231,231,100%,2e-73,51.20,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TET90625.1?report=genbank&log$=prottop&blast_rank=75&RID=0VF2G3E9016"",""TET90625.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,229,229,99%,1e-72,51.20,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCE5295902.1?report=genbank&log$=prottop&blast_rank=76&RID=0VF2G3E9016"",""MCE5295902.1"")"
radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,228,228,100%,3e-72,51.20,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NYT12311.1?report=genbank&log$=prottop&blast_rank=77&RID=0VF2G3E9016"",""NYT12311.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,226,226,100%,3e-71,51.20,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE3122741.1?report=genbank&log$=prottop&blast_rank=78&RID=0VF2G3E9016"",""MBE3122741.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,224,224,100%,1e-70,50.95,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6522223.1?report=genbank&log$=prottop&blast_rank=79&RID=0VF2G3E9016"",""MBE6522223.1"")"
TPA: radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,224,224,100%,2e-70,50.95,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HJH58081.1?report=genbank&log$=prottop&blast_rank=80&RID=0VF2G3E9016"",""HJH58081.1"")"
radical SAM protein [Candidatus Methanomethylophilaceae archaeon],Candidatus Methanomethylophilaceae archaeon,223,223,100%,3e-70,50.95,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBR4244320.1?report=genbank&log$=prottop&blast_rank=81&RID=0VF2G3E9016"",""MBR4244320.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,244,244,100%,2e-78,50.72,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2564490.1?report=genbank&log$=prottop&blast_rank=82&RID=0VF2G3E9016"",""MCJ2564490.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,243,243,100%,5e-78,50.72,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4949408.1?report=genbank&log$=prottop&blast_rank=83&RID=0VF2G3E9016"",""MCK4949408.1"")"
TPA: radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,228,228,100%,4e-72,50.72,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHT75512.1?report=genbank&log$=prottop&blast_rank=84&RID=0VF2G3E9016"",""HHT75512.1"")"
TPA: radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,227,227,98%,1e-71,50.49,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDP96987.1?report=genbank&log$=prottop&blast_rank=85&RID=0VF2G3E9016"",""HDP96987.1"")"
TPA: radical SAM protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,223,223,100%,4e-70,50.47,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDO69518.1?report=genbank&log$=prottop&blast_rank=86&RID=0VF2G3E9016"",""HDO69518.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,227,227,100%,1e-71,50.24,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCD92625.1?report=genbank&log$=prottop&blast_rank=87&RID=0VF2G3E9016"",""UCD92625.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,226,226,100%,1e-71,50.24,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLK26090.1?report=genbank&log$=prottop&blast_rank=88&RID=0VF2G3E9016"",""NLK26090.1"")"
7-carboxy-7-deazaguanine synthase [uncultured archaeon],uncultured archaeon,223,223,100%,4e-70,50.24,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VVB62076.1?report=genbank&log$=prottop&blast_rank=89&RID=0VF2G3E9016"",""VVB62076.1"")"
radical SAM protein [Candidatus Methanomassiliicoccus intestinalis],Candidatus Methanomassiliicoccus intestinalis,224,224,100%,1e-70,50.24,211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TQS83440.1?report=genbank&log$=prottop&blast_rank=90&RID=0VF2G3E9016"",""TQS83440.1"")"
radical SAM protein [Candidatus Methanomassiliicoccus intestinalis],Candidatus Methanomassiliicoccus intestinalis,222,222,100%,7e-70,50.24,211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020449182.1?report=genbank&log$=prottop&blast_rank=91&RID=0VF2G3E9016"",""WP_020449182.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,222,222,99%,8e-70,50.24,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX8638934.1?report=genbank&log$=prottop&blast_rank=92&RID=0VF2G3E9016"",""MBX8638934.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,240,240,100%,5e-77,49.76,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2555857.1?report=genbank&log$=prottop&blast_rank=93&RID=0VF2G3E9016"",""MCJ2555857.1"")"
